npc_id,npc_name
247,Billy Maclure
302,Blind Mary
347,Grizzle Halfmane
392,Captain Grayson
620,Chicken
1156,Vyrin Swiftwind
1244,Rethiel the Greenwarden
1429,Thurman Schneider
1733,Zggi
1776,Magtoor
1992,Tarindrella
2150,Zenn Foulhoof
2227,Sharlindra
2230,Umpi
2274,Stanley
2278,Melisara
2425,Varimathras
2500,Captain Hecklebury Smotts
2546,Fleet Master Firallon
2610,Shakes O'Breen
2766,Lolo the Lookout
2888,Garek
3339,Captain Thalo'thas Brightsun
3430,Mangletooth
3439,Wizzlecrank's Shredder
3465,Gilthares Firebough
3467,Baron Longshore
3568,Mist
3584,Therylune
3585,Therysil
3616,Onu
3897,Krolg
3901,Illiyana
3916,Shael'dryn
3920,Anilia
3994,Keeper Albagorm
4198,Braelyn Firehand
4455,Red Jack Flint
4456,Fiora Longears
4500,Overlord Mok'Morokk
4501,Draz'Zilb
4502,Tharg
4503,Mudcrush Durtfeet
4566,Kaelystia Hatebringer
4606,Aelthalyste
4610,Algernon
4612,Boyle
4982,Thomas
4983,Ogron
5087,Do'gol
5353,Itharius
5397,Uthek the Wise
5398,Warug
5498,Elsharin
5624,Undercity Guardian
5843,Slave Worker
5891,Minor Manifestation of Earth
5895,Minor Manifestation of Water
5955,Tooga
6015,Torta
6109,Azuregos
6134,Lord Arkkoroc
9516,Lord Banehollow
7166,Wrenix's Gizmotronic Apparatus
7172,Lore Keeper of Norgannon
7363,Kum'isha the Collector
7505,Bloodmage Drazial
7506,Bloodmage Lynnore
7765,Rockbiter
7784,Homing Robot OOX-17/TN
7801,Gilveradin Sunchaser
7806,Homing Robot OOX-09/HL
7807,Homing Robot OOX-22/FE
7826,Ambassador Ardalan
7918,Stone Watcher of Norgannon
8395,Sanath Lim-yo
8405,Ogtinc
8441,Raze
8612,Screecher Spirit
8767,Sah'rhee
8816,Deathly Usher
8962,Hilary
8965,Shawn
9274,Dadanga
9459,Cyrus Therepentous
9467,Miblon Snarltooth
9500,Mistress Nagmara
9502,Phalanx
9598,Arei
9623,A-Me 01
9836,Mathredis Firestar
10304,Aurora Skycaller
10321,Emberstrife
10432,Vectus
10475,Scholomance Student
10666,Gordo
10684,Remorseful Highborne
10740,Awbee
10799,Warosh
10918,Lorax
10926,Pamela Redpath
10929,Haleh
10976,Jeziba
11441,Gordok Brute
11444,Gordok Mage-Lord
11445,Gordok Captain
11448,Gordok Warlock
11450,Gordok Reaver
11491,Old Ironbark
11554,Grazle
11555,Gorn One Eye
11556,Salfa
11557,Meilosh
11558,Kernda
11627,Tamed Kodo
11832,Keeper Remulos
11862,Tsunaman
11956,Great Bear Spirit
12144,Lunaclaw Spirit
12238,Zaetar's Spirit
12245,Vendor-Tron 1000
12246,Super-Seller 680
13020,Vaelastrasz the Corrupt
13085,Myrokos Silentform
13278,Duke Hydraxis
13322,Hydraxian Honor Guard
13602,The Abominable Greench
13636,Strange Snowman
13698,Keeper Marandis
13699,Selendra
13716,Celebras the Redeemed
13717,Centaur Pariah
14241,Ironbark the Redeemed
14305,Human Orphan
14321,Guard Fengus
14322,Stomper Kreeg
14323,Guard Slip'kik
14324,Cho'Rush the Observer
14325,Captain Kromcrush
14326,Guard Mol'dar
14348,Earthcaller Franzahl
14351,Gordok Bushwacker
14353,Mizzle the Crafty
14354,Pusillin
14387,Lothos Riftwaker
14444,Orcish Orphan
14470,Impsy
14504,Dreadsteed Spirit
14524,Vartrus the Ancient
14525,Stoma the Ancient
14526,Hastat the Ancient
14528,Precious
14566,Ancient Equine Spirit
14568,Darkreaver's Fallen Charger
14731,Lard
14822,Sayge
14827,Burth
14860,Flik
14866,Flik's Frog
14902,Jin'rokh the Breaker
15079,Fishbot 5000
15192,Anachronos
15309,Spoops
15310,Jesper
16073,Spirit of Lord Valthalak
10583,Gryfe
16227,Bragok
16015,Vi'el
16431,Cracked Necrotic Crystal
16531,Faint Necrotic Crystal
15395,Nafien
15526,Meridith the Mermaiden
15624,Forest Wisp
15664,Metzen the Reindeer
15760,Winter Reveler
15481,Spirit of Azuregos
5407,Nightmare
16075,Kwee Q. Peddlefeet
13697,Cavindra
16999,Johnny McWeaksauce
