npc_name,sex,dialog_type,quest_id,text
Unknown,,gossip,,Search this rubble.
Unknown,,gossip,,"Find me something good, you dogs!"
Unknown,,gossip,,"If you're here, then it means you are prepared to begin the study of summoning demonic cohorts to do your bidding. We will start with the lowliest creatures you will be able to call and continue from there. Let us begin."
Unknown,,gossip,,The easiest creature for you to summon is the imp. You should already be able to bring forth this minion but for completeness' sake I will start with him.
Unknown,,gossip,,"This foul little beast is the imp. It is small and weak, making it almost useless as a meatshield, and its damage output is mediocre at best. This creature is best used for support of a larger group."
Unknown,,gossip,,"Now that you have had a chance to study the imp, let us move on to the next minion you will be able to summon, the voidwalker."
Unknown,,gossip,,"This demonic entity is known as the Voidwalker. Its strength and endurance are significant, making it ideal for defense. Send it to attack your enemy, then use it as a shield while you use your spells and abilities to drain away your opponent's life."
Unknown,,gossip,,"If you've never seen one, it is a sight to behold. A very impressive creature both on and off the field of battle. Next, let us take a look at what I am sure all you male students have been waiting for. The succubus."
Unknown,,gossip,,"All right now. Aside from the obvious distractions a minion like this will provide against your more masculine foes, she is also capable of dealing out impressive amounts of damage. However, her fragile endurance makes her almost useless as a shield."
Unknown,,gossip,,"Study hard and you might one day be able to summon one on your own, but for now it's time to move on to the felhunter."
Unknown,,gossip,,What you see before you is a felhunter. This creature's natural talents include spell lock and other abilities which make it unequalled when facing a magically attuned opponent.
Unknown,,gossip,,"When facing a spellcaster of any kind, this feral beast will be your best friend. Now, let us take a look at something a bit different. This next creature will aid your travels and make your future journeys much easier. Let's take a look at a felsteed."
Unknown,,gossip,,"I doubt you have had much occasion to see such a creature. These demonic equines will make your travels much faster by acting as your mount as long as you control them. However, they are difficult to control, so be sure you are ready before attempting it."
Unknown,,gossip,,"There you have it. Our lesson on summoning has come to an end. A new class will begin shortly, so if you wish to brush up, feel free to stay around."
Unknown,,gossip,,"I've been saving this spot for something special. I don't think it gets any more special than this, $N."
Unknown,,gossip,,"I am looking for some bodyguards that would like to protect the Gizelton Caravan. We are stopped on the road east of Kormek's Hut, north of Kolkar Centaur Village."
Unknown,,gossip,,There we go. All done!
Unknown,,gossip,,So sorry to leave a customer but we have places to go and people to swindle. We will be back sometime later today. Good-bye!
Unknown_relaydb,,gossip,,Hulfnar!  Thontek!  Stand and address me.
Unknown_relaydb,,gossip,,I want you both to demonstrate the techniques I have taught you for the benefit of the younger students here.  Ready...  begin!
Unknown_relaydb,,gossip,,Enough talk you two!  Commence fighting!
Unknown_relaydb,,gossip,,Ish nu!  That's enough!
Unknown_relaydb,,gossip,,"Good, good.  Now bow to each other."
Unknown_relaydb,,gossip,,Now bow to me.
